Order_ID,Order_Date,Customer_ID,Segment,Region,Category,Product_Name,Unit_Price,Quantity,Discount,Sales,Profit
ORD-2024-0039,2024-06-27,CUST-142,Consumer,Europe,Office Supplies,Standing Desk Converter,151.3,4,0.05,574.95,215.75
ORD-2024-0040,2024-09-09,CUST-189,Consumer,North America,Technology,Ergonomic Mouse,268.05,1,0.0,268.05,86.56
ORD-2024-0041,2024-04-23,CUST-237,Consumer,North America,Technology,"Ultra HD Monitor 27""",936.18,3,0.1,2527.69,724.45
ORD-2024-0042,2024-04-05,CUST-112,Consumer,Middle East,Office Supplies,Premium Gel Pens (Pack of 12),74.53,4,0.0,298.11,143.89
ORD-2024-0043,2024-03-02,CUST-199,Small Business,North America,Office Supplies,Premium Gel Pens (Pack of 12),99.45,1,0.0,99.45,34.55
ORD-2024-0044,2024-10-10,CUST-216,Consumer,Latin America,Technology,Smart Laptop Pro,1337.58,2,0.05,2541.39,859.01
ORD-2024-0045,2024-02-22,CUST-241,Corporate,North America,Technology,Mechanical Keyboard,1139.47,1,0.0,1139.47,389.85
ORD-2024-0046,2024-11-26,CUST-106,Corporate,Asia Pacific,Office Supplies,Laser Printer Paper 500s,38.73,3,0.05,110.38,27.39
ORD-2024-0047,2024-07-12,CUST-164,Small Business,Europe,Office Supplies,Standing Desk Converter,33.02,10,0.0,330.16,89.54
ORD-2024-0048,2024-05-11,CUST-190,Small Business,Middle East,Furniture,Ergonomic Mesh Chair,395.15,2,0.0,790.31,195.58
ORD-2024-0049,2024-05-20,CUST-226,Consumer,North America,Technology,"Ultra HD Monitor 27""",656.5,3,0.1,1772.56,399.55
ORD-2024-0050,2024-07-09,CUST-157,Consumer,Asia Pacific,Office Supplies,Executive Desk Chair,96.43,2,0.0,192.87,52.21
ORD-2024-0051,2024-07-31,CUST-245,Small Business,North America,Technology,Ergonomic Mouse,1391.21,2,0.2,2225.93,36.96
ORD-2024-0052,2024-02-23,CUST-115,Consumer,Asia Pacific,Technology,Smart Laptop Pro,880.39,1,0.0,880.39,318.88
ORD-2024-0053,2024-05-01,CUST-200,Consumer,North America,Furniture,Conference Table,281.68,1,0.05,267.6,43.23
ORD-2024-0054,2024-07-30,CUST-233,Corporate,Asia Pacific,Furniture,Adjustable Height Desk,571.95,1,0.0,571.95,96.53
ORD-2024-0055,2024-11-07,CUST-217,Consumer,Asia Pacific,Furniture,Filing Cabinet 3-Drawer,763.66,1,0.0,763.66,167.46
ORD-2024-0056,2024-08-04,CUST-198,Corporate,Europe,Furniture,Ergonomic Mesh Chair,828.94,4,0.0,3315.76,900.5
ORD-2024-0057,2024-07-15,CUST-182,Small Business,North America,Technology,Ergonomic Mouse,1399.65,2,0.1,2519.36,782.11
ORD-2024-0058,2024-06-21,CUST-191,Consumer,North America,Technology,4K Web Camera,907.72,3,0.05,2586.99,520.54
ORD-2024-0059,2024-09-15,CUST-156,Consumer,Europe,Technology,Wireless Noise-Canceling Headphones,800.2,2,0.05,1520.39,485.55
ORD-2024-0060,2024-04-12,CUST-129,Corporate,Asia Pacific,Office Supplies,Laser Printer Paper 500s,41.82,1,0.05,39.73,8.52
ORD-2024-0061,2024-06-14,CUST-180,Consumer,Middle East,Office Supplies,Premium Gel Pens (Pack of 12),92.15,1,0.05,87.54,39.4
ORD-2024-0062,2024-09-29,CUST-225,Small Business,Europe,Furniture,Conference Table,330.77,10,0.0,3307.71,670.29
ORD-2024-0063,2024-07-01,CUST-231,Consumer,North America,Office Supplies,Premium Gel Pens (Pack of 12),113.56,3,0.0,340.69,119.27
ORD-2024-0064,2024-06-08,CUST-191,Corporate,Latin America,Technology,"Ultra HD Monitor 27""",365.4,1,0.0,365.4,85.73
ORD-2024-0065,2024-08-20,CUST-172,Consumer,North America,Technology,4K Web Camera,594.99,1,0.0,594.99,214.77
ORD-2024-0066,2024-04-16,CUST-212,Corporate,Asia Pacific,Technology,Smart Laptop Pro,1301.09,1,0.1,1170.98,144.41
ORD-2024-0067,2024-08-01,CUST-113,Consumer,North America,Office Supplies,Heavy Duty Binder,57.78,2,0.1,104.0,39.29
ORD-2024-0068,2024-08-25,CUST-214,Small Business,Asia Pacific,Technology,"Ultra HD Monitor 27""",1087.02,4,0.0,4348.08,893.47
ORD-2024-0069,2024-02-08,CUST-244,Consumer,Asia Pacific,Technology,Smart Laptop Pro,552.6,1,0.0,552.6,131.55
ORD-2024-0070,2024-04-18,CUST-212,Corporate,Asia Pacific,Technology,Smart Laptop Pro,749.48,3,0.05,2136.01,573.7
ORD-2024-0071,2024-10-08,CUST-220,Consumer,North America,Office Supplies,Standing Desk Converter,117.21,2,0.0,234.42,72.93
ORD-2024-0072,2024-04-21,CUST-154,Consumer,North America,Technology,4K Web Camera,350.85,1,0.0,350.85,81.95
ORD-2024-0073,2024-02-05,CUST-178,Consumer,Europe,Furniture,Adjustable Height Desk,848.08,2,0.15,1441.74,222.86
ORD-2024-0074,2024-03-02,CUST-143,Corporate,Europe,Furniture,Ergonomic Mesh Chair,800.56,2,0.0,1601.13,352.6
ORD-2024-0075,2024-08-12,CUST-137,Consumer,North America,Technology,Wireless Noise-Canceling Headphones,1070.31,3,0.1,2889.84,627.33
ORD-2024-0076,2024-09-15,CUST-229,Consumer,Middle East,Office Supplies,Premium Gel Pens (Pack of 12),28.29,1,0.0,28.29,9.45
ORD-2024-0077,2024-11-24,CUST-193,Consumer,North America,Technology,Wireless Noise-Canceling Headphones,1100.28,2,0.0,2200.57,676.05
ORD-2024-0078,2024-11-29,CUST-100,Small Business,Latin America,Technology,Ergonomic Mouse,1316.17,1,0.0,1316.17,498.0
ORD-2024-0079,2024-09-23,CUST-104,Corporate,North America,Office Supplies,Desk Organizer Tray,147.24,1,0.0,147.24,44.23
ORD-2024-0080,2024-08-24,CUST-131,Consumer,Europe,Technology,4K Web Camera,885.38,2,0.1,1593.69,394.77
ORD-2024-0081,2024-06-01,CUST-203,Consumer,Europe,Office Supplies,Desk Organizer Tray,76.86,2,0.0,153.72,53.47
ORD-2024-0082,2024-06-27,CUST-137,Consumer,Europe,Office Supplies,Premium Gel Pens (Pack of 12),73.58,3,0.05,209.71,51.83
ORD-2024-0083,2024-09-10,CUST-217,Corporate,North America,Furniture,Filing Cabinet 3-Drawer,293.18,2,0.1,527.72,87.09
ORD-2024-0084,2024-01-15,CUST-229,Corporate,Europe,Furniture,Conference Table,708.11,1,0.1,637.3,33.27
ORD-2024-0085,2024-10-25,CUST-233,Corporate,Asia Pacific,Technology,"Ultra HD Monitor 27""",898.79,8,0.0,7190.29,2508.14
ORD-2024-0086,2024-05-20,CUST-199,Consumer,Middle East,Office Supplies,Standing Desk Converter,42.26,1,0.1,38.03,7.4
ORD-2024-0087,2024-04-15,CUST-139,Corporate,Middle East,Furniture,Filing Cabinet 3-Drawer,689.87,1,0.0,689.87,129.28
ORD-2024-0088,2024-12-11,CUST-154,Consumer,Europe,Furniture,Adjustable Height Desk,737.23,5,0.15,3133.22,-27.87
ORD-2024-0089,2024-07-20,CUST-124,Corporate,Europe,Technology,Ergonomic Mouse,1153.57,1,0.0,1153.57,231.68
ORD-2024-0090,2024-12-12,CUST-124,Consumer,North America,Furniture,Modern Lounge Sofa,466.55,2,0.0,933.11,149.7
ORD-2024-0091,2024-10-11,CUST-180,Consumer,North America,Office Supplies,Desk Organizer Tray,112.89,1,0.05,107.25,40.43
ORD-2024-0092,2024-03-03,CUST-222,Small Business,Europe,Furniture,Ergonomic Mesh Chair,847.81,2,0.0,1695.62,356.75
ORD-2024-0093,2024-10-12,CUST-212,Consumer,North America,Furniture,Modern Lounge Sofa,735.6,1,0.1,662.04,92.5
ORD-2024-0094,2024-09-20,CUST-209,Consumer,Asia Pacific,Office Supplies,Desk Organizer Tray,157.89,1,0.0,157.89,76.82
ORD-2024-0095,2024-06-26,CUST-171,Consumer,North America,Office Supplies,Executive Desk Chair,158.72,2,0.0,317.44,111.74
ORD-2024-0096,2024-09-20,CUST-243,Corporate,North America,Technology,Ergonomic Mouse,274.3,3,0.15,699.47,77.16
ORD-2024-0097,2024-11-06,CUST-246,Consumer,North America,Technology,Ergonomic Mouse,1270.42,1,0.0,1270.42,257.06
ORD-2024-0098,2024-01-02,CUST-218,Consumer,Europe,Technology,"Ultra HD Monitor 27""",1288.28,1,0.1,1159.45,273.7
ORD-2024-0099,2024-08-13,CUST-180,Corporate,North America,Technology,Ergonomic Mouse,1226.34,8,0.1,8829.61,1368.7
ORD-2024-0100,2024-07-27,CUST-124,Corporate,Latin America,Furniture,Adjustable Height Desk,489.34,3,0.05,1394.63,238.18
ORD-2024-0101,2024-06-02,CUST-245,Consumer,Asia Pacific,Technology,4K Web Camera,807.11,1,0.0,807.11,186.36
ORD-2024-0102,2024-01-17,CUST-185,Consumer,Europe,Office Supplies,Standing Desk Converter,84.84,3,0.0,254.52,95.28
ORD-2024-0103,2024-04-07,CUST-221,Corporate,North America,Technology,Smart Laptop Pro,900.65,1,0.15,765.55,152.84
ORD-2024-0104,2024-11-02,CUST-110,Corporate,North America,Office Supplies,Standing Desk Converter,34.45,1,0.1,31.01,11.81
ORD-2024-0105,2024-11-05,CUST-132,,Asia Pacific,Technology,Smart Laptop Pro,745.06,5,0.1,3352.79,817.56
ORD-2024-0106,2024-12-02,CUST-172,Small Business,North America,Technology,Mechanical Keyboard,770.46,1,0.1,693.41,159.81
ORD-2024-0107,2024-04-13,CUST-201,Corporate,Europe,Technology,Smart Laptop Pro,693.53,4,0.1,2496.73,400.46
ORD-2024-0108,2024-10-31,CUST-161,Small Business,North America,Office Supplies,Premium Gel Pens (Pack of 12),41.89,2,0.0,83.78,40.85
ORD-2024-0109,2024-08-02,CUST-111,Small Business,Asia Pacific,Furniture,Adjustable Height Desk,656.87,10,0.15,5583.41,556.38
ORD-2024-0110,2024-10-14,CUST-234,Corporate,North America,Technology,Wireless Noise-Canceling Headphones,1031.97,1,0.05,980.37,326.66
ORD-2024-0111,2024-11-23,CUST-245,Consumer,Asia Pacific,Technology,Ergonomic Mouse,1363.82,2,0.15,2318.5,599.99
ORD-2024-0112,2024-04-17,CUST-207,Consumer,Asia Pacific,Office Supplies,Executive Desk Chair,39.29,3,0.0,117.87,31.74
ORD-2024-0113,2024-07-28,CUST-133,Corporate,Europe,Office Supplies,Executive Desk Chair,103.23,4,0.0,412.91,147.29
ORD-2024-0114,2024-08-14,CUST-161,,Europe,Technology,Ergonomic Mouse,237.54,1,0.0,237.54,47.91
ORD-2024-0115,2024-09-22,CUST-102,Consumer,Europe,Office Supplies,Executive Desk Chair,34.67,2,0.1,62.41,16.24
ORD-2024-0116,2024-10-19,CUST-148,Corporate,Latin America,Office Supplies,Desk Organizer Tray,26.73,10,0.0,267.35,68.03
ORD-2024-0117,2024-03-01,CUST-187,Small Business,North America,Technology,Mechanical Keyboard,473.73,10,0.15,4026.69,738.73
ORD-2024-0118,2024-09-16,CUST-209,Corporate,Middle East,Office Supplies,Laser Printer Paper 500s,57.07,2,0.05,108.42,49.72
ORD-2024-0119,2024-09-15,CUST-108,Consumer,Europe,Technology,Wireless Noise-Canceling Headphones,1182.76,2,0.0,2365.51,814.06
ORD-2024-0120,2024-06-26,CUST-112,Consumer,Europe,Furniture,Solid Wood Bookcase,493.83,4,0.0,1975.32,591.29
ORD-2024-0121,2024-04-07,CUST-175,Corporate,Europe,Technology,Smart Laptop Pro,721.79,1,0.0,721.79,195.18
ORD-2024-0122,2024-05-03,CUST-136,Consumer,Europe,Technology,Smart Laptop Pro,615.86,3,0.0,1847.58,455.9
ORD-2024-0123,2024-04-23,CUST-155,Small Business,Latin America,Technology,Ergonomic Mouse,768.93,2,0.1,1384.08,286.82
ORD-2024-0124,2024-08-03,CUST-112,Corporate,Latin America,Office Supplies,Premium Gel Pens (Pack of 12),147.59,4,0.15,501.8,156.22
ORD-2024-0125,2024-06-03,CUST-130,Consumer,Middle East,Furniture,Ergonomic Mesh Chair,676.9,4,0.15,2301.47,-3.93
ORD-2024-0126,2024-02-08,CUST-138,Consumer,Latin America,Furniture,Solid Wood Bookcase,262.53,4,0.05,997.62,228.12
ORD-2024-0127,2024-01-17,CUST-169,Small Business,Asia Pacific,Technology,Ergonomic Mouse,294.8,1,0.1,265.32,49.47
ORD-2024-0128,2024-02-29,CUST-167,Small Business,Europe,Technology,Wireless Noise-Canceling Headphones,374.37,3,0.0,1123.11,376.99
ORD-2024-0129,2024-07-11,CUST-128,Corporate,Asia Pacific,Technology,Smart Laptop Pro,222.4,4,0.2,711.68,11.96
ORD-2024-0130,2024-01-07,CUST-157,Corporate,North America,Office Supplies,Premium Gel Pens (Pack of 12),30.5,1,0.1,27.45,10.84
ORD-2024-0131,2024-04-08,CUST-215,Small Business,North America,Technology,Wireless Noise-Canceling Headphones,714.23,3,0.05,2035.56,384.51
ORD-2024-0132,2024-07-13,CUST-200,Consumer,North America,Furniture,Modern Lounge Sofa,815.6,2,0.15,1386.53,-4.58
ORD-2024-0133,2024-09-13,CUST-124,Consumer,Asia Pacific,Office Supplies,Desk Organizer Tray,71.32,3,0.0,213.96,92.24
ORD-2024-0134,2024-03-12,CUST-126,Consumer,Latin America,Office Supplies,Standing Desk Converter,45.48,1,0.0,45.48,13.69
ORD-2024-0135,2024-06-29,CUST-116,Corporate,North America,Furniture,Conference Table,788.29,1,0.0,788.29,231.88
ORD-2024-0136,2024-11-14,CUST-163,Consumer,Europe,Office Supplies,Heavy Duty Binder,124.24,2,0.0,248.49,82.37
ORD-2024-0137,2024-04-04,CUST-235,Consumer,North America,Office Supplies,Laser Printer Paper 500s,135.5,3,0.2,325.21,87.1
ORD-2024-0138,2024-02-15,CUST-196,Consumer,North America,Office Supplies,Premium Gel Pens (Pack of 12),42.8,2,0.1,77.04,23.52
ORD-2024-0139,2024-03-17,CUST-221,Consumer,Latin America,Office Supplies,Executive Desk Chair,32.57,1,0.05,30.94,9.74
ORD-2024-0140,2024-12-25,CUST-202,Corporate,North America,Furniture,Solid Wood Bookcase,595.5,1,0.15,506.18,57.87
ORD-2024-0141,2024-06-26,CUST-183,Small Business,Asia Pacific,Office Supplies,Executive Desk Chair,120.05,2,0.0,240.1,107.05
ORD-2024-0142,2024-01-03,CUST-111,Consumer,Latin America,Office Supplies,Desk Organizer Tray,26.52,2,0.1,47.74,10.13
ORD-2024-0143,2024-05-26,CUST-131,Corporate,Europe,Technology,Ergonomic Mouse,1369.83,1,0.1,1232.85,220.05
ORD-2024-0144,2024-02-06,CUST-134,Corporate,North America,Office Supplies,Standing Desk Converter,179.41,3,0.0,538.24,265.73
ORD-2024-0145,2024-11-27,CUST-136,Consumer,North America,Technology,4K Web Camera,367.74,2,0.1,661.93,200.74
ORD-2024-0146,2024-02-19,CUST-165,Corporate,Asia Pacific,Technology,Mechanical Keyboard,1233.79,2,0.1,2220.82,503.78
ORD-2024-0147,2024-07-04,CUST-242,Consumer,Europe,Office Supplies,Heavy Duty Binder,165.98,2,0.05,315.36,83.87
ORD-2024-0148,2024-03-27,CUST-140,Small Business,Asia Pacific,Technology,Wireless Noise-Canceling Headphones,940.68,2,0.0,1881.35,502.53
ORD-2024-0149,2024-08-18,CUST-127,Corporate,Europe,Technology,Mechanical Keyboard,599.04,1,0.0,599.04,183.74
ORD-2024-0150,2024-06-12,CUST-113,Corporate,North America,Technology,Ergonomic Mouse,1362.28,1,0.0,1362.28,383.73
ORD-2024-0151,2024-09-13,CUST-217,Small Business,North America,Technology,Ergonomic Mouse,711.79,5,0.0,3558.96,1088.4
ORD-2024-0152,2024-07-22,CUST-233,Consumer,Asia Pacific,Technology,Smart Laptop Pro,743.29,4,0.05,2824.49,897.74
ORD-2024-0153,2024-10-19,CUST-158,Small Business,North America,Technology,Ergonomic Mouse,1320.76,1,0.0,1320.76,273.51
ORD-2024-0154,2024-10-02,CUST-149,Corporate,Europe,Technology,Smart Laptop Pro,1383.29,1,0.2,1106.63,240.31
ORD-2024-0155,2024-12-05,CUST-223,Corporate,Europe,Furniture,Adjustable Height Desk,238.02,1,0.15,202.32,-1.45
ORD-2024-0156,2024-06-05,CUST-154,Corporate,North America,Office Supplies,Standing Desk Converter,91.0,1,0.05,86.45,37.95
ORD-2024-0157,2024-05-24,CUST-188,Consumer,Asia Pacific,Furniture,Adjustable Height Desk,731.61,3,0.0,2194.84,604.96
ORD-2024-0158,2024-05-21,CUST-162,Small Business,Asia Pacific,Office Supplies,Executive Desk Chair,83.02,1,0.05,78.87,30.12
ORD-2024-0159,2024-09-01,CUST-231,Corporate,Middle East,Furniture,Ergonomic Mesh Chair,546.91,4,0.0,2187.65,553.3
ORD-2024-0160,2024-10-05,CUST-188,Small Business,Middle East,Office Supplies,Desk Organizer Tray,89.69,1,0.05,85.21,36.28
ORD-2024-0161,2024-11-11,CUST-201,Consumer,Europe,Technology,Smart Laptop Pro,835.62,2,0.0,1671.25,513.69
ORD-2024-0162,2024-09-21,CUST-216,Corporate,North America,Technology,"Ultra HD Monitor 27""",624.73,2,0.0,1249.46,444.06
ORD-2024-0163,2024-10-19,CUST-145,Consumer,Europe,Furniture,Ergonomic Mesh Chair,322.25,1,0.05,306.14,50.21
ORD-2024-0164,2024-04-16,CUST-150,Small Business,Europe,Office Supplies,Premium Gel Pens (Pack of 12),21.21,4,0.0,84.84,34.94
ORD-2024-0165,2024-11-29,CUST-134,Consumer,Europe,Technology,Ergonomic Mouse,757.34,1,0.0,757.34,186.47
ORD-2024-0166,2024-03-17,CUST-173,Corporate,Asia Pacific,Office Supplies,Standing Desk Converter,86.17,1,0.05,81.86,19.86
ORD-2024-0167,2024-02-05,CUST-205,Consumer,Europe,Furniture,Ergonomic Mesh Chair,447.17,4,0.0,1788.68,242.66
ORD-2024-0168,2024-08-01,CUST-220,Small Business,Asia Pacific,Technology,Ergonomic Mouse,891.92,2,0.0,1783.85,611.64
ORD-2024-0169,2024-02-19,CUST-246,Corporate,North America,Furniture,Ergonomic Mesh Chair,662.37,3,0.1,1788.4,344.19
ORD-2024-0170,2024-02-18,CUST-136,Consumer,Europe,Office Supplies,Executive Desk Chair,137.9,1,0.0,137.9,64.22
ORD-2024-0171,2024-03-18,CUST-106,Corporate,North America,Office Supplies,Heavy Duty Binder,121.12,1,0.0,121.12,32.05
ORD-2024-0172,2024-08-28,CUST-201,Consumer,Europe,Office Supplies,Premium Gel Pens (Pack of 12),22.53,4,0.05,85.62,25.71
ORD-2024-0173,2024-12-18,CUST-112,Consumer,North America,Office Supplies,Laser Printer Paper 500s,115.32,1,0.0,115.32,40.4
ORD-2024-0174,2024-06-08,CUST-224,Consumer,Asia Pacific,Office Supplies,Standing Desk Converter,106.4,3,,303.25,134.08
ORD-2024-0175,2024-09-14,CUST-249,Small Business,Asia Pacific,Office Supplies,Desk Organizer Tray,78.07,2,0.0,156.14,77.89
ORD-2024-0176,2024-10-29,CUST-243,Corporate,Middle East,Office Supplies,Heavy Duty Binder,52.15,1,0.0,52.15,20.02
ORD-2024-0177,2024-01-30,CUST-203,Consumer,Middle East,Technology,Mechanical Keyboard,443.3,1,0.2,354.64,31.86
ORD-2024-0178,2024-08-18,CUST-241,Corporate,Latin America,Furniture,Ergonomic Mesh Chair,755.28,2,0.0,1510.56,346.72
ORD-2024-0179,2024-09-14,CUST-154,Consumer,North America,Technology,Wireless Noise-Canceling Headphones,1321.2,1,0.0,1321.2,395.94
ORD-2024-0180,2024-04-10,CUST-134,Small Business,Europe,Technology,4K Web Camera,638.8,1,0.05,606.86,153.44
ORD-2024-0181,2024-12-01,CUST-190,Small Business,Latin America,Office Supplies,Standing Desk Converter,53.92,1,0.0,53.92,24.52
ORD-2024-0182,2024-09-22,CUST-113,Corporate,Middle East,Office Supplies,Standing Desk Converter,151.6,4,0.15,515.43,80.73
ORD-2024-0183,2024-01-25,CUST-178,Consumer,Latin America,Technology,4K Web Camera,982.88,2,0.05,1867.48,337.95
ORD-2024-0184,2024-04-01,CUST-233,Consumer,Asia Pacific,Furniture,Conference Table,368.27,2,0.0,736.54,155.49
ORD-2024-0185,2024-10-13,CUST-110,Corporate,Asia Pacific,Technology,"Ultra HD Monitor 27""",226.69,2,0.0,453.37,154.39
ORD-2024-0186,2024-05-28,CUST-196,Consumer,Europe,Furniture,Ergonomic Mesh Chair,234.97,1,0.05,223.22,29.27
ORD-2024-0187,2024-08-08,CUST-215,Consumer,North America,Office Supplies,Executive Desk Chair,119.82,2,0.0,239.65,91.49
ORD-2024-0188,2024-01-14,CUST-161,,Europe,Office Supplies,Laser Printer Paper 500s,48.3,8,0.0,386.42,134.0
ORD-2024-0189,2024-11-09,CUST-181,Corporate,Asia Pacific,Office Supplies,Desk Organizer Tray,50.35,1,0.1,45.32,15.35
ORD-2024-0190,2024-07-09,CUST-133,Consumer,Europe,Technology,Mechanical Keyboard,774.17,1,0.0,774.17,191.9
ORD-2024-0191,2024-08-08,CUST-204,Small Business,Asia Pacific,Technology,Mechanical Keyboard,643.1,3,0.15,1639.9,256.02
ORD-2024-0192,2024-02-17,CUST-120,Small Business,Middle East,Technology,Smart Laptop Pro,468.34,1,0.15,398.09,94.3
ORD-2024-0193,2024-03-19,CUST-186,Consumer,Europe,Furniture,Solid Wood Bookcase,772.57,4,0.0,3090.29,621.49
ORD-2024-0194,2024-04-18,CUST-157,Corporate,North America,Office Supplies,Laser Printer Paper 500s,148.34,1,0.05,140.92,33.57
ORD-2024-0195,2024-01-28,CUST-107,Corporate,North America,Office Supplies,Heavy Duty Binder,76.77,2,0.1,138.2,38.86
ORD-2024-0196,2024-12-02,CUST-148,Corporate,North America,Technology,4K Web Camera,519.31,2,,1038.61,351.53
ORD-2024-0197,2024-04-28,CUST-101,Corporate,Asia Pacific,Technology,Mechanical Keyboard,202.44,3,0.0,607.32,227.34
ORD-2024-0198,2024-10-14,CUST-158,Corporate,Middle East,Office Supplies,Laser Printer Paper 500s,125.04,1,0.15,106.28,16.5
ORD-2024-0199,2024-07-31,CUST-221,Small Business,Asia Pacific,Office Supplies,Standing Desk Converter,128.16,1,0.2,102.53,22.3
ORD-2024-0200,2024-05-28,CUST-234,Corporate,North America,Furniture,Ergonomic Mesh Chair,678.53,4,0.1,2442.71,279.28
ORD-2024-0201,2024-12-10,CUST-126,Corporate,North America,Technology,"Ultra HD Monitor 27""",1321.74,1,0.0,1321.74,274.62
ORD-2024-0202,2024-10-04,CUST-118,Consumer,North America,Furniture,Adjustable Height Desk,529.57,2,0.0,1059.13,239.64
